ementa,norma,tornada_sem_efeito,alterada,data,outros,tipo_normatico,publicacao,revogada,em_vigor,anexos,tags
Publica ação administrativa de suspensão punitiva de habilitações técnicas de piloto.,"PORTARIA Nº 4729/SPL, 07/04/2021",,,2021-04-07,,Portaria,"DOU 09/04/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4729-spl-07-04-2021/@@display-file/arquivo_norma/PA2021-4729.pdf,['portaria']
Torna pública a aplicação de medida administrativa cautelar e exclui o heliponto privado a bordo da unidade Vermelho 1 (9PVE) do cadastro de aeródromos.,"PORTARIA Nº 4726/SIA, 07/04/2021",,,2021-04-07,,Portaria,"DOU 19/04/2021, Seção 1, pág.76",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4726-sia-07-04-2021/@@display-file/arquivo_norma/PA2021-4726.pdf,['portaria']
Exclui o Aeródromo Privado Fazenda Santa Izabel (SP) no cadastro de aeródromos.,"PORTARIA Nº 4717/SIA, 06/04/2021",,,2021-04-06,,Portaria,"DOU 14/04/2021, Seção 1, pág.142",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4717-sia-06-04-2021/@@display-file/arquivo_norma/PA2021-4717.pdf,['portaria']
Inscreve o Aeródromo Privado Fazenda Lago Azul (MS) no cadastro de aeródromos.,"PORTARIA Nº 4722/SIA, 06/04/2021",,,2021-04-06,,Portaria,"DOU 13/04/2021, Seção 1, pág.56",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4722-sia-06-04-2021/@@display-file/arquivo_norma/PA2021-4722-%20Com%20OBS%20.pdf,['portaria']
Inscreve o Aeródromo Privado Fazenda Rio Preto (MT) no cadastro de aeródromos.,"PORTARIA Nº 4718/SIA, 06/04/2021",,,2021-04-06,,Portaria,"DOU 14/04/2021, Seção 1, pág.142",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4718-sia-06-04-2021/@@display-file/arquivo_norma/PA2021-4718-%20Com%20OBS%20.pdf,['portaria']
Inscreve o Aeródromo Privado Fazenda Tartus (MA) no cadastro de aeródromos.,"PORTARIA Nº 4714/SIA, 06/04/2021",,,2021-04-06,,Portaria,"DOU 16/04/2021, Seção 1, pág.75",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4714-sia-06-04-2021/@@display-file/arquivo_norma/PA2021-4714-%20Com%20OBS%20.pdf,['portaria']
Inscreve o Heliponto Privado HDG (GO) no cadastro de aeródromos.,"PORTARIA Nº 4716/SIA, 06/04/2021",,,2021-04-06,,Portaria,"DOU 15/04/2021, Seção 1, pág.583",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4716-sia-06-04-2021/@@display-file/arquivo_norma/PA2021-4716-%20Com%20OBS%20.pdf,['portaria']
Inscreve o Heliponto Privado Ten. Brig. Ar Waldir de Vasconcelos (RJ) no cadastro de aeródromos.,"PORTARIA Nº 4719/SIA, 06/04/2021",,,2021-04-06,,Portaria,"DOU 16/04/2021, Seção 1, pág.76","Revogada pela Portaria nº 5.556/SIA, de 22 de julho de 2021.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4719-sia-06-04-2021/@@display-file/arquivo_norma/PA2021-4719.pdf,['portaria']
Tornar Pública a Emissão do Certificado de Operador Aéreo - Base Aerofotogrametria e Projetos Ltda.,"PORTARIA Nº 4715/SPO, 06/04/2021",,,2021-04-06,,Portaria,"DOU 09/04/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4715-spo-06-04-2021/@@display-file/arquivo_norma/PA2021-4715.pdf,['portaria']
Altera a inscrição do Heliponto Privado Ilha do Cavaco (RJ) no cadastro de aeródromos.,"PORTARIA Nº 4705/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 12/04/2021, Seção 1, pág.",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4705-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4705-%20Com%20OBS%20.pdf,"['alteração', 'portaria']"
Exclui o Aeródromo Privado Fazenda Santa Rosália (MS) no cadastro de aeródromos.,"PORTARIA Nº 4731/SPO, 05/04/2021",,,2021-04-05,,Portaria,"DOU 12/04/2021, Seção 1, pág.93",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4731-spo-05-04-2021/@@display-file/arquivo_norma/PA2021-4731.pdf,['portaria']
Exclui o Aeródromo Privado Sítio Ouro Preto (RJ) no cadastro de aeródromos.,"PORTARIA Nº 4708/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 08/04/2021, Seção 1, pág.90",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4708-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4708.pdf,['portaria']
Inscreve o Aeródromo Privado Faz. Sto. Antônio do Itiquira (MT) no cadastro de aeródromos.,"PORTARIA Nº 4710/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 28/04/2021, Seção 1, pág.52",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4710-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4710-%20Com%20OBS%20.pdf,['portaria']
Inscreve o Heliponto Privado Condomínio Village da Serra (CE) no cadastro de aeródromos.,"PORTARIA Nº 4712/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 14/04/2021, Seção 1, pág.142",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4712-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4712-%20Com%20OBS%20.pdf,['portaria']
Renova a inscrição do Heliponto Privado Guararema Parque Hotel (SP) no cadastro de aeródromos.,"PORTARIA Nº 4700/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 14/04/2021, Seção 1, pág.142",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4700-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4700-%20Com%20OBS%20.pdf,['portaria']
Renova a inscrição do Heliponto Privado Hospital e Maternidade Vitória (SP) no cadastro de aeródromos.,"PORTARIA Nº 4701/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 14/04/2021, Seção 1, pág.142",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4701-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4701.pdf,['portaria']
"Suspende, cautelarmente, o credenciamento da clínica com base na Seção  67.49(a)(4) do Regulamento Brasileiro de Aviação Civil - RBAC nº 67 - Clinicor - Clínica Cardiológica de Manaus Ltda - EPP.","PORTARIA Nº 4704/SPL, 05/04/2021",,,2021-04-05,,Portaria,"DOU 13/04/2021, Seção 1, pág.56",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4704-spl-05-04-2021/@@display-file/arquivo_norma/PA2021-4704.pdf,"['67.49', 'portaria', 'rbac']"
Torna Pública a Emissão do Certificado de Operador Aéreo - Energisa Serviços Aéreos de Aeroinspecao S.A.,"PORTARIA Nº 4709/SIA, 05/04/2021",,,2021-04-05,,Portaria,"DOU 12/04/2021, Seção 1, pág.93",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4709-sia-05-04-2021/@@display-file/arquivo_norma/PA2021-4709.pdf,['portaria']
Tornar pública a emissão do Certificado de CIAC do Aeroclube de Juiz de Fora.,"PORTARIA Nº 4698/SPL, 05/04/2021",,,2021-04-05,,Portaria,"DOU 14/04/2021, Seção 1, pág.143",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4698-spl-05-04-2021/@@display-file/arquivo_norma/PA2021-4698.pdf,['portaria']
Altera a inscrição do Heliponto Privado ITAUTEC (SP) no cadastro de aeródromos.,"PORTARIA Nº 4942/SIA, 04/04/2021",,,2021-04-04,,Portaria,"DOU 01/06/2021, Seção 1, pág.112","Portaria nº 6.893/SIA, de 3 de janeiro de 2022.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4942-sia-04-04-2021/@@display-file/arquivo_norma/PA2021-4942.pdf,"['alteração', 'portaria']"
Autoriza a operação de sociedade empresária de serviços aéreos públicos - AG Escola de Aviação Civil Ltda.,"DECISÃO Nº 320, 31/03/2021",,,2021-03-31,,Decisão,"DOU 31/03/2021, Seção 1 (Extra), pág.28",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2021/decisao-no-320-31-03-2021/@@display-file/arquivo_norma/DA2021-0320.pdf,['decisão']
Autoriza a operação de sociedade empresária de serviços aéreos públicos - Aeroimpar Aviação Agrícola Ltda.,"DECISÃO Nº 321, 31/03/2021",,,2021-03-31,"Retificado no Diário Oficial da União de 13 de abril de 2021, Seção 1, página 56.",Decisão,"DOU 01/04/2021, Seção 1 (Extra), pág.28",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2021/decisao-no-321-31-03-2021/@@display-file/arquivo_norma/DA2021-0321.pdf,['decisão']
Aprova Listagem de Medidas Adicionais de Segurança e Procedimentos Alternativos como parte integrante do Programa de Segurança de Operador Aéreo da empresa Sideral Linhas Aéreas Ltda.,"PORTARIA Nº 4694/SIA, 31/03/2021",,,2021-03-31,,Portaria,"DOU 06/04/2021, Seção 1, pág.66",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4694-sia-31-03-2021/@@display-file/arquivo_norma/PA2021-4694.pdf,"['aprovação', 'portaria']"
"Aprova a Diretriz de Segurança da Aviação Civil contra Atos de Interferência Ilícita nº 02-2016, Revisão D.","PORTARIA Nº 4693/SIA, 31/03/2021",,,2021-03-31,,Portaria,"DOU 09/04/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4693-sia-31-03-2021/@@display-file/arquivo_norma/PA2021-4693.pdf,"['aprovação', 'portaria']"
