"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Instrução Normativa"	"Instrução Normativa nº 153, 06/02/2020"	"BPS V.15, Nº 6 S1, 10/02/2020"	"Dispõe sobre os procedimentos gerais referentes à administração, controle, uso, fornecimento, responsabilidade, guarda, transferência, cessão, alienação e outras formas de desfazimento de materiais a serem observados no âmbito da Agência Nacional de Aviação Civil."	"43867"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-153-06-02-2020@@download/arquivo_norma/IN2020-0153.pdf"
"Instrução Normativa"	"Instrução Normativa nº 154, 20/03/2020"	"BPS V.15, Nº 12 S1, 24/03/2020"	"Estabelece as diretrizes e os procedimentos para o processo regulatório e a melhoria contínua da qualidade regulatória."	"43910"	"Em vigor em 1º de abril de 2020, quanto aos arts. 27 a 38; e no dia 1º de julho de 2020, quanto aos demais dispositivos."	""	""	""	"Retificado no BPS V.15, Nº 13, 27/03/2020"	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-154-20-03-2020@@download/arquivo_norma/IN2020-0154 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 155, 14/05/2020"	"BPS V.15, Nº 20, 15/05/2020"	"Estabelece o Modelo de Governança dos Serviços prestados pela ANAC."	"43965"	"Em vigor em 1º de junho de 2020."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-155-14-05-2020@@download/arquivo_norma/IN2020-0155.pdf"
"Instrução Normativa"	"Instrução Normativa nº 156, 10/06/2020"	"BPS V.15, Nº 24, 12/06/2020"	"Revoga a Instrução Normativa nº 108, de 16 de novembro de 2016."	"43992"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-156-10-06-2020@@download/arquivo_norma/IN2020-0156.pdf"
"Instrução Normativa"	"Instrução Normativa nº 157, 15/06/2020"	"BPS V.15, Nº 25, 19/06/2020"	"Implementa a Política de Desenvolvimento de Pessoas no âmbito da Agência Nacional de Aviação Civil."	"43997"	"Em vigor em 3 de agosto de 2020."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-157-15-06-2020@@download/arquivo_norma/IN2020-0157.pdf"
"Portaria"	"Instrução Normativa nº 158, 13/06/2020"	"BPS V.15, Nº 29, 17/07/2020"	"Altera a Instrução Normativa nº 127, de 5 de outubro de 2018."	"43995"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-158-13-06-2020@@download/arquivo_norma/IN2020-0158.pdf"
"Instrução Normativa"	"Instrução Normativa nº 160, 23/07/2020"	"BPS V.15, Nº 30, 24/07/2020"	"Altera a Instrução Normativa nº 121, de 4 de maio de 2018."	"44035"	"Em vigor em 3 de agosto de 2020."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-160-23-07-2020@@download/arquivo_norma/IN2020-0160.pdf"
"Instrução Normativa"	"Instrução Normativa nº 159, 23/07/2020"	"BPS V.15, Nº 30, 24/07/2020"	"Revoga a Instrução Normativa nº 126, de 22 de agosto de 2018."	"44035"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-159-23-07-2020@@download/arquivo_norma/IN2020-0159.pdf"
"Instrução Normativa"	"Instrução Normativa nº 161, 23/07/2020"	"BPS V.15, Nº 30, 24/07/2020"	"Dispõe sobre a realização das sessões de julgamento de segunda instância administrativa durante o período de enfrentamento à pandemia do COVID-19."	"44035"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-161-23-07-2020@@download/arquivo_norma/IN2020-0161.pdf"
"Instrução Normativa"	"Instrução Normativa nº 162, 06/08/2020"	"BPS V.15, Nº 32 S1, 10/08/2020"	"Altera a Instrução Normativa nº 113, de 22 de fevereiro de 2017."	"44049"	"Em vigor em 1º de setembro de 2020."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-162-06-08-2020@@download/arquivo_norma/IN2020-0162.pdf"
