ID;​​Manufacturer;​Model;​Type Designator;​Description;​Engine Type;​Engine Count;​​WTC
5190;HK;Wega;PULS;LandPlane;Piston;1;L
5191;HOAC;DV-20 Katana;DV20;LandPlane;Piston;1;L
5192;HOAC;HK-36 Super Dimona;DIMO;LandPlane;Piston;1;L
5193;HOAC;Katana;DV20;LandPlane;Piston;1;L
5194;HOAC;Super Dimona;DIMO;LandPlane;Piston;1;L
5195;HOFFMANN;Dimona;DIMO;LandPlane;Piston;1;L
5196;HOFFMANN;H-36 Dimona;DIMO;LandPlane;Piston;1;L
5197;HOFFMANN;H-40;H40;LandPlane;Piston;1;L
5198;HOLCOMB;Perigee;PGEE;LandPlane;Piston;1;L
5199;HOLLMANN;HA-2 Sportster;HA2;Gyrocopter;Piston;1;L
5200;HOLLMANN;Sportster;HA2;Gyrocopter;Piston;1;L
5201;HONDA;HA-420 HondaJet;HDJT;LandPlane;Jet;2;L
5202;HONDA;HondaJet;HDJT;LandPlane;Jet;2;L
5203;HONDA-MISSISSIPPI;MH-02;MH02;LandPlane;Jet;2;L
5204;HONGDU;A-5;Q5;LandPlane;Jet;2;M
5205;HONGDU;BT-6;CJ6;LandPlane;Piston;1;L
5206;HONGDU;CJ-6;CJ6;LandPlane;Piston;1;L
5207;HONGDU;K-8 Karakorum;K8;LandPlane;Jet;1;L
5208;HONGDU;Karakorum;K8;LandPlane;Jet;1;L
5209;HONGDU;N-5;N5;LandPlane;Piston;1;L
5210;HONGDU;Q-5;Q5;LandPlane;Jet;2;M
5211;HONGDU;JL-8;K8;LandPlane;Jet;1;L
5212;HONGDU;L-15 Lieying;L15;LandPlane;Jet;2;M
5213;HONGDU;Lieying;L15;LandPlane;Jet;2;M
5214;HONGDU MD HELICOPTERS;MD-600N;MD60;Helicopter;Turboprop/Turboshaft;1;L
5215;HOVEY;Beta Bird;BBIR;LandPlane;Piston;1;L
5216;HOWARD (1);DGA-15;DG15;LandPlane;Piston;1;L
5217;HOWARD (1);GH Nightingale;DG15;LandPlane;Piston;1;L
5218;HOWARD (1);NH;DG15;LandPlane;Piston;1;L
5219;HOWARD (1);Nightingale;DG15;LandPlane;Piston;1;L
5220;HOWARD (2);250;L18;LandPlane;Piston;2;M
5221;HOWARD (2);350;L18;LandPlane;Piston;2;M
5222;HOWARD (2);500;L37;LandPlane;Piston;2;M
5223;HOWARD HUGHES;Australian LightWing GR-912;LWIN;LandPlane;Piston;1;L
5224;HOWARD HUGHES;Australian LightWing GA-912;LWIN;LandPlane;Piston;1;L
5225;HOWARD HUGHES;Australian LightWing GR-582;LWIN;LandPlane;Piston;1;L
5226;HOWARD HUGHES;Austalian LightWing Sport 2000;LWIN;LandPlane;Piston;1;L
5227;HOWARD HUGHES;Australian LightWing Speed SP-2000;LW20;LandPlane;Piston;1;L
5228;HOWARD HUGHES;Pocket Rocket PR-582;PRPR;LandPlane;Piston;1;L
5229;HOWARD HUGHES;Pocket Rocket PR-XP;PRPR;LandPlane;Piston;1;L
5230;HOWARD HUGHES;Pocket Rocket PR-Breeze;PRBR;LandPlane;Piston;1;L
5231;HOWARD HUGHES;Pocket Rocket PR-Bipe;PRBP;LandPlane;Piston;1;L
5232;HOWARD HUGHES;Australian LightWing Speed SP-4000;LW40;LandPlane;Piston;1;L
5233;HUGHES;269 Sky Knight;H269;Helicopter;Piston;1;L
5234;HUGHES;280;H269;Helicopter;Piston;1;L
5235;HUGHES;300;H269;Helicopter;Piston;1;L
5236;HUGHES;300 Sky Knight;H269;Helicopter;Piston;1;L
5237;HUGHES;369;H500;Helicopter;Turboprop/Turboshaft;1;L
5238;HUGHES;500;H500;Helicopter;Turboprop/Turboshaft;1;L
5239;HUGHES;500 Defender;H500;Helicopter;Turboprop/Turboshaft;1;L
5240;HUGHES;530F;H500;Helicopter;Turboprop/Turboshaft;1;L
5241;HUGHES;AH-6C;H500;Helicopter;Turboprop/Turboshaft;1;L
5242;HUGHES;AH-6G;H500;Helicopter;Turboprop/Turboshaft;1;L
5243;HUGHES;AH-64 Apache;H64;Helicopter;Turboprop/Turboshaft;2;M
5244;HUGHES;Cayuse;H500;Helicopter;Turboprop/Turboshaft;1;L
5245;HUGHES;Defender;H500;Helicopter;Turboprop/Turboshaft;1;L
5246;HUGHES;Hkp5;H269;Helicopter;Piston;1;L
5247;HUGHES;JAH-64 Apache;H64;Helicopter;Turboprop/Turboshaft;2;M
5248;HUGHES;MH-6B;H500;Helicopter;Turboprop/Turboshaft;1;L
5249;HUGHES;MH-6C;H500;Helicopter;Turboprop/Turboshaft;1;L
5250;HUGHES;MH-6E;H500;Helicopter;Turboprop/Turboshaft;1;L
5251;HUGHES;MH-6H;H500;Helicopter;Turboprop/Turboshaft;1;L
5252;HUGHES;OH-6 Cayuse;H500;Helicopter;Turboprop/Turboshaft;1;L
5253;HUGHES;Osage;H269;Helicopter;Piston;1;L
5254;HUGHES;Sky Knight;H269;Helicopter;Piston;1;L
5255;HUGHES;TH-55 Osage;H269;Helicopter;Piston;1;L
5256;HUGHES;TH-300;H269;Helicopter;Piston;1;L
5257;HUGHES;77 Apache;H64;Helicopter;Turboprop/Turboshaft;2;M
5258;HUGHES;200;H269;Helicopter;Piston;1;L
5259;HUGHES;269;H269;Helicopter;Piston;1;L
5260;HUMBERT;Tetras;TTRS;LandPlane;Piston;1;L
5261;HUMBERT;Moto Du Ciel;MOTO;LandPlane;Piston;1;L
5262;HUMMEL;Hummel Bird;HUML;LandPlane;Piston;1;L
5263;HUNTING;Jet Provost;JPRO;LandPlane;Jet;1;L
5264;HUNTING;P-56 Provost;PPRO;LandPlane;Piston;1;L
5265;HUNTING;P-66 Pembroke;PEMB;LandPlane;Piston;2;L
5266;HUNTING;P-84 Jet Provost;JPRO;LandPlane;Jet;1;L
5267;HUNTING;Pembroke;PEMB;LandPlane;Piston;2;L
5268;HUNTING;Provost;PPRO;LandPlane;Piston;1;L
5269;HUNTING PERCIVAL;Jet Provost;JPRO;LandPlane;Jet;1;L
5270;HUNTING PERCIVAL;P-56 Provost;PPRO;LandPlane;Piston;1;L
5271;HUNTING PERCIVAL;P-66 Pembroke;PEMB;LandPlane;Piston;2;L
5272;HUNTING PERCIVAL;P-84 Jet Provost;JPRO;LandPlane;Jet;1;L
5273;HUNTING PERCIVAL;Pembroke;PEMB;LandPlane;Piston;2;L
5274;HUNTING PERCIVAL;Provost;PPRO;LandPlane;Piston;1;L
5275;HUREL-DUBOIS;HD-34;HD34;LandPlane;Piston;2;M
5276;HUZHOU TAIXIANG;Exec;EXEC;Helicopter;Piston;1;L
5277;HYDROPLANE;Che-22 Corvette;CE22;Amphibian;Piston;2;L
5278;HYDROPLANE;Che-22 Pelican;CE22;Amphibian;Piston;2;L
5279;HYDROPLANE;Che-25;CE25;Amphibian;Piston;2;L
5280;HYDROPLANE;Cicada;CICA;LandPlane;Piston;2;L
5281;HYDROPLANE;Corvette;CE22;Amphibian;Piston;2;L
5282;HYDROPLANE;Pelican;CE22;Amphibian;Piston;2;L
5283;HYDROPLANE;SkyWind;CICA;LandPlane;Piston;2;L
5284;HYNES;H-2;BRB2;Helicopter;Piston;1;L
5285;HYUNDAI;BK-117;BK17;Helicopter;Turboprop/Turboshaft;2;L
5286;IAI;101 Arava;ARVA;LandPlane;Turboprop/Turboshaft;2;L
5287;IAI;102 Arava;ARVA;LandPlane;Turboprop/Turboshaft;2;L
5288;IAI;201 Arava;ARVA;LandPlane;Turboprop/Turboshaft;2;L
5289;IAI;202 Arava;ARVA;LandPlane;Turboprop/Turboshaft;2;L
5290;IAI;707 Phalcon;B703;LandPlane;Jet;4;H
5291;IAI;1121 Commodore Jet;JCOM;LandPlane;Jet;2;M
5292;IAI;1123 Westwind;WW23;LandPlane;Jet;2;M
5293;IAI;1124 Sea Scan;WW24;LandPlane;Jet;2;M
5294;IAI;1124 Westwind;WW24;LandPlane;Jet;2;M
5295;IAI;1124 Westwind 1;WW24;LandPlane;Jet;2;M
5296;IAI;1124 Westwind 2;WW24;LandPlane;Jet;2;M
5297;IAI;1125 Astra;ASTR;LandPlane;Jet;2;M
5298;IAI;1125 Gulfstream G100;ASTR;LandPlane;Jet;2;M
5299;IAI;1126 Galaxy;GALX;LandPlane;Jet;2;M
5300;IAI;1126 Gulfstream G200;GALX;LandPlane;Jet;2;M
5301;IAI;Arava;ARVA;LandPlane;Turboprop/Turboshaft;2;L
5302;IAI;Astra;ASTR;LandPlane;Jet;2;M
5303;IAI;C-38 Astra;ASTR;LandPlane;Jet;2;M
5304;IAI;CM-170R Magister;FOUG;LandPlane;Jet;2;L
5305;IAI;CM-170R Tzukit;FOUG;LandPlane;Jet;2;L
5306;IAI;Commodore Jet;JCOM;LandPlane;Jet;2;M
5307;IAI;Dagger;MIRA;LandPlane;Jet;1;M
5308;IAI;F-4 Kurnass 2000;F4;LandPlane;Jet;2;M
5309;IAI;F-4 Phantom 2000;F4;LandPlane;Jet;2;M
5310;IAI;Galaxy;GALX;LandPlane;Jet;2;M
5311;IAI;Gulfstream G100;ASTR;LandPlane;Jet;2;M
5312;IAI;Gulfstream G150;G150;LandPlane;Jet;2;M
5313;IAI;Gulfstream G200;GALX;LandPlane;Jet;2;M
5314;IAI;Kfir;KFIR;LandPlane;Jet;1;M
5315;IAI;Kurnass 2000;F4;LandPlane;Jet;2;M
5316;IAI;Magister;FOUG;LandPlane;Jet;2;L
5317;IAI;Phalcon;B703;LandPlane;Jet;4;H
5318;IAI;Phantom 2000;F4;LandPlane;Jet;2;M
5319;IAI;S-2UP Turbo Tracker;S2T;LandPlane;Turboprop/Turboshaft;2;M
5320;IAI;Sea Scan;WW24;LandPlane;Jet;2;M
5321;IAI;Turbo Tracker;S2T;LandPlane;Turboprop/Turboshaft;2;M
5322;IAI;Tzukit;FOUG;LandPlane;Jet;2;L
5323;IAI;Westwind 1;WW24;LandPlane;Jet;2;M
5324;IAI;Westwind 2;WW24;LandPlane;Jet;2;M
5325;IAI;Westwind (1123);WW23;LandPlane;Jet;2;M
5326;IAI;Westwind (1124);WW24;LandPlane;Jet;2;M
5327;IAI;Gulfstream G280;G280;LandPlane;Jet;2;M
5328;IAI;Gulfstream G250;G250;LandPlane;Jet;2;M
5329;IAI;Heron;HRON;LandPlane;Piston;1;L
5330;IAI;Harfang;HRON;LandPlane;Piston;1;L
5331;IANNOTTA;I-66 San Francisco;I66;LandPlane;Piston;1;L
5332;IANNOTTA;San Francisco;I66;LandPlane;Piston;1;L
5333;IAR;IAR-46 Katty;IR46;LandPlane;Piston;1;L
5334;IAR;IAR-330 Puma;PUMA;Helicopter;Turboprop/Turboshaft;2;L
5335;IAR;IS-28M2;IS28;LandPlane;Piston;1;L
5336;IAR;Katty;IR46;LandPlane;Piston;1;L
5337;IAR;Puma;PUMA;Helicopter;Turboprop/Turboshaft;2;L
5338;IBIS (1);Ae-270 Propjet;A270;LandPlane;Turboprop/Turboshaft;1;L
5339;IBIS (1);Propjet;A270;LandPlane;Turboprop/Turboshaft;1;L
5340;IBIS (2);Grand Magic;GMGC;LandPlane;Piston;1;L
5341;IBIS (2);Urraco;URRA;LandPlane;Piston;1;L
5342;IBIS (2);Arrow;URRA;LandPlane;Piston;1;L
5343;ICA;IAR-825TP Triumf;IR25;LandPlane;Turboprop/Turboshaft;1;L
5344;ICA;IAR-826;IR22;LandPlane;Piston;1;L
5345;ICA;IAR-827 Dacic;IR27;LandPlane;Piston;1;L
5346;ICA;IAR-828;I828;LandPlane;Turboprop/Turboshaft;1;L
5347;ICA;IAR-831 Pelican;IR31;LandPlane;Piston;1;L
5348;ICA;IS-28M2;IS28;LandPlane;Piston;1;L
5349;ICA;IS-28MA;IR28;LandPlane;Piston;1;L
5350;ICA;Ka-126;K126;Helicopter;Turboprop/Turboshaft;1;L
5351;ICA;Pelican;IR31;LandPlane;Piston;1;L
5352;ICA;Puma;PUMA;Helicopter;Turboprop/Turboshaft;2;L
5353;ICA;Triumf;IR25;LandPlane;Turboprop/Turboshaft;1;L
5354;ICA;Alouette 3;ALO3;Helicopter;Turboprop/Turboshaft;1;L
5355;ICA;Dacic;IR27;LandPlane;Piston;1;L
5356;ICA;IAR-28MA;IR28;LandPlane;Piston;1;L
5357;ICA;IAR-316 Alouette 3;ALO3;Helicopter;Turboprop/Turboshaft;1;L
5358;ICA;IAR-330 Puma;PUMA;Helicopter;Turboprop/Turboshaft;2;L
5359;ICA;IAR-821;IR21;LandPlane;Piston;1;L
5360;ICA;IAR-822;IR22;LandPlane;Piston;1;L
5361;ICA;IAR-823;IR23;LandPlane;Piston;1;L
5362;ICA;IAR-824;IR24;LandPlane;Piston;1;L
5363;ICON;A-5;A5;Amphibian;Piston;1;L
5364;ICP;Ventura;VNTR;LandPlane;Piston;1;L
5365;ICP;MXP-740 Savannah;SVNH;LandPlane;Piston;1;L
5366;ICP;Savannah;SVNH;LandPlane;Piston;1;L
5367;ICP;SA-2 Vimana;SA2;LandPlane;Piston;1;L
5368;ICP;Vimana;SA2;LandPlane;Piston;1;L
5369;ICP;SA-2 Rampage;SA2;LandPlane;Piston;1;L
5370;ICP;Rampage;SA2;LandPlane;Piston;1;L
5371;IDEA;Hydropteron;HPTR;Amphibian;Piston;1;L
5372;IFB;E-Genius;GENI;LandPlane;Electric;1;L
5373;III;Sky Arrow;SKAR;LandPlane;Piston;1;L
5374;III;Speed Arrow;SPAR;LandPlane;Piston;1;L
5375;IKAR;Ai-10 Ikar;AI10;LandPlane;Piston;1;L
5376;IKAR;Ikar;AI10;LandPlane;Piston;1;L
5377;IKARUS;Bison;C42;LandPlane;Piston;1;L
5378;IKARUS;C-42;C42;LandPlane;Piston;1;L
5379;IKARUS;C-42 Bison;C42;LandPlane;Piston;1;L
5380;ILYUSHIN;A-50;A50;LandPlane;Jet;4;H
5381;ILYUSHIN;Be-976;A50;LandPlane;Jet;4;H
5382;ILYUSHIN;Bizon;IL18;LandPlane;Turboprop/Turboshaft;4;M
5383;ILYUSHIN;Gajaraj;IL76;LandPlane;Jet;4;H
5384;ILYUSHIN;Il-14;IL14;LandPlane;Piston;2;M
5385;ILYUSHIN;Il-18;IL18;LandPlane;Turboprop/Turboshaft;4;M
5386;ILYUSHIN;Il-18 Bizon;IL18;LandPlane;Turboprop/Turboshaft;4;M
5387;ILYUSHIN;Il-20;IL18;LandPlane;Turboprop/Turboshaft;4;M
5388;ILYUSHIN;Il-22 Zebra;IL18;LandPlane;Turboprop/Turboshaft;4;M
5389;ILYUSHIN;Il-24;IL18;LandPlane;Turboprop/Turboshaft;4;M
5390;ILYUSHIN;Il-28;IL28;LandPlane;Jet;2;M
5391;ILYUSHIN;Il-38;IL38;LandPlane;Turboprop/Turboshaft;4;M
5392;ILYUSHIN;Il-62;IL62;LandPlane;Jet;4;H
5393;ILYUSHIN;Il-76;IL76;LandPlane;Jet;4;H
5394;ILYUSHIN;Il-76 Gajaraj;IL76;LandPlane;Jet;4;H
5395;ILYUSHIN;Il-78;IL76;LandPlane;Jet;4;H
5396;ILYUSHIN;Il-82;IL76;LandPlane;Jet;4;H
5397;ILYUSHIN;Il-86;IL86;LandPlane;Jet;4;H
5398;ILYUSHIN;Il-87;IL86;LandPlane;Jet;4;H
5399;ILYUSHIN;Il-96;IL96;LandPlane;Jet;4;H
5400;ILYUSHIN;Il-103;I103;LandPlane;Piston;1;L
5401;ILYUSHIN;Il-114;I114;LandPlane;Turboprop/Turboshaft;2;M
5402;ILYUSHIN;Zebra;IL18;LandPlane;Turboprop/Turboshaft;4;M
5403;IMCO;Callair A-9;A9;LandPlane;Piston;1;L
5404;IMCO;Callair B-1;CLB1;LandPlane;Piston;1;L
5405;IMP;P-16 Turbo Tracker;S2T;LandPlane;Turboprop/Turboshaft;2;M
5406;IMP;S-2 Turbo Tracker;S2T;LandPlane;Turboprop/Turboshaft;2;M
5407;IMP;Turbo Tracker;S2T;LandPlane;Turboprop/Turboshaft;2;M
5408;IMPULSE;Impulse;IMPU;LandPlane;Piston;1;L
5409;IMPULSE;Xcite;IMPU;LandPlane;Piston;1;L
5410;IMPULSE;Xturn;IMPU;LandPlane;Piston;1;L
5411;INDAER CHILE;A-36 Halcón;C101;LandPlane;Jet;1;L
5412;INDAER CHILE;Aviojet;C101;LandPlane;Jet;1;L
5413;INDAER CHILE;C-101 Aviojet;C101;LandPlane;Jet;1;L
5414;INDAER CHILE;Dakota;P28B;LandPlane;Piston;1;L
5415;INDAER CHILE;Halcón;C101;LandPlane;Jet;1;L
5416;INDAER CHILE;PA-28-236 Dakota;P28B;LandPlane;Piston;1;L
5417;INDAER CHILE;Pillán;PILL;LandPlane;Piston;1;L
5418;INDAER CHILE;T-35 Pillán;PILL;LandPlane;Piston;1;L
5419;INDAER CHILE;T-36 Aviojet;C101;LandPlane;Jet;1;L
5420;INDAER PERU;Ag-Chuspi;AVID;LandPlane;Piston;1;L
5421;INDAER PERU;Chuspi;AVID;LandPlane;Piston;1;L
5422;INDAER PERU;IAP-001 Chuspi;AVID;LandPlane;Piston;1;L
5423;INDAER PERU;IAP-002 Ag-Chuspi;AVID;LandPlane;Piston;1;L
5424;INDEPENDENT;SeaDragon;JB1;Amphibian;Piston;1;L
5425;INDEPENDENT;X-JB-1 SeaDragon;JB1;Amphibian;Piston;1;L
5426;INDUS;Sky Skooter;T211;LandPlane;Piston;1;L
5427;INDUS;Sport E;T211;LandPlane;Piston;1;L
5428;INDUS;T-11 Sky Skooter;T211;LandPlane;Piston;1;L
5429;INDUS;T-211 Sport E;T211;LandPlane;Piston;1;L
5430;INDUS;T-211 Thorpedo;T211;LandPlane;Piston;1;L
5431;INDUS;Thorpedo;T211;LandPlane;Piston;1;L
5432;INNOVATION;Genesis;GSIS;LandPlane;Piston;1;L
5433;INNOVATION;Genesis Revelation;GSIS;LandPlane;Piston;1;L
5434;INNOVATION;SkyQuest;SQES;LandPlane;Piston;2;L
5435;INNOVAVIATION;FX-1;FX1;LandPlane;Piston;1;L
5436;INPAER;Conquest;INCQ;LandPlane;Piston;1;L
5437;INPAER;Excel;INEC;LandPlane;Piston;1;L
5438;INPAER;Explorer;INEX;LandPlane;Piston;1;L
5439;INSTYTUT LOTNICTWA;I-22 Iryda;I22;LandPlane;Jet;1;M
5440;INSTYTUT LOTNICTWA;I-23 Manager;I23;LandPlane;Piston;1;L
5441;INSTYTUT LOTNICTWA;Iryda;I22;LandPlane;Jet;1;M
5442;INSTYTUT LOTNICTWA;Manager;I23;LandPlane;Piston;1;L
5443;INTER-AIR;14 Bellanca 260A;B14C;LandPlane;Piston;1;L
5444;INTER-AIR;14 Bellanca 260B;B14C;LandPlane;Piston;1;L
5445;INTER-AIR;14 Bellanca 260C;B14C;LandPlane;Piston;1;L
5446;INTER-AIR;Bellanca 260A;B14C;LandPlane;Piston;1;L
5447;INTER-AIR;Bellanca 260B;B14C;LandPlane;Piston;1;L
5448;INTER-AIR;Bellanca 260C;B14C;LandPlane;Piston;1;L
5449;INTERAVIA;I-1;SL90;LandPlane;Piston;1;L
5450;INTERAVIA;I-3;I3;LandPlane;Piston;1;L
5451;INTERNATIONAL HELICOPTERS;Commuter;COMU;Helicopter;Piston;1;L
5452;INTERNATIONAL HELICOPTERS;H-1 Commuter;COMU;Helicopter;Piston;1;L
5453;INTERPLANE;Skyboy;SBOY;LandPlane;Piston;1;L
5454;INTERSTATE;Arctic Tern;S1;LandPlane;Piston;1;L
5455;INTERSTATE;Cadet;S1;LandPlane;Piston;1;L
5456;INTERSTATE;L-6 Cadet;S1;LandPlane;Piston;1;L
5457;INTERSTATE;S-1;S1;LandPlane;Piston;1;L
5458;INTERSTATE;S-1 Arctic Tern;S1;LandPlane;Piston;1;L
5459;INTERSTATE;S-1 Cadet;S1;LandPlane;Piston;1;L
5460;INTRACOM;GM-17 Viper;GM17;LandPlane;Turboprop/Turboshaft;1;L
5461;INTRACOM;Viper;GM17;LandPlane;Turboprop/Turboshaft;1;L
5462;ION;Ion;ION;LandPlane;Piston;1;L
5463;IPAI;IPAI-26 Tuca;IP26;LandPlane;Piston;1;L
5464;IPAI;Tuca;IP26;LandPlane;Piston;1;L
5465;IPE;Curucaca;IP06;LandPlane;Piston;1;L
5466;IPE;IPE-04;CP10;LandPlane;Piston;1;L
5467;IPE;IPE-06 Curucaca;IP06;LandPlane;Piston;1;L
5468;IPE;IPE-06A;IP6A;LandPlane;Piston;1;L
5469;IPE;IPE-010;IP10;LandPlane;Piston;1;L
5470;IPT;IPT-16 Surubim;SURU;LandPlane;Piston;1;L
5471;IPT;Surubim;SURU;LandPlane;Piston;1;L
5472;IRGC;Shahed 274;S274;Helicopter;Turboprop/Turboshaft;1;L
5473;IRIAF;JT-2-2 Tazarve;TZRV;LandPlane;Jet;1;L
5474;IRIAF;Tazarve;TZRV;LandPlane;Jet;1;L
5475;IRIAF;S-100 Saeghe;F5SA;LandPlane;Jet;2;M
5476;IRIAF;Saeghe;F5SA;LandPlane;Jet;2;M
5477;IRKUT;MC-21-300;MC23;LandPlane;Jet;2;M
5478;IRKUT;A-002;A002;Gyrocopter;Piston;1;L
5479;IRMA;BN-2A Islander;BN2P;LandPlane;Piston;2;L
5480;IRMA;BN-2B Islander;BN2P;LandPlane;Piston;2;L
5481;IRMA;Islander;BN2P;LandPlane;Piston;2;L
5482;ISAACS;Fury;IFUR;LandPlane;Piston;1;L
5483;ISAACS;Spitfire;ISPT;LandPlane;Piston;1;L
5484;ISAE;Omega 2;OMGA;LandPlane;Piston;1;L
5485;ISLAND AIRCRAFT;ARV-1 Super 2;ARV1;LandPlane;Piston;1;L
5486;ISLAND AIRCRAFT;Super 2;ARV1;LandPlane;Piston;1;L
5487;ISSOIRE;APM-20 Lionceau;APM2;LandPlane;Piston;1;L
5488;ISSOIRE;APM-21 Lion;APM2;LandPlane;Piston;1;L
5489;ISSOIRE;APM-30 Lion;APM3;LandPlane;Piston;1;L
5490;ISSOIRE;Lion (APM-21);APM2;LandPlane;Piston;1;L
5491;ISSOIRE;Lion (APM-30);APM3;LandPlane;Piston;1;L
5492;ISSOIRE;Lionceau;APM2;LandPlane;Piston;1;L
5493;ISSOIRE;PIK-20E;PK20;LandPlane;Piston;1;L
5494;ISSOIRE;PIK-30;PK20;LandPlane;Piston;1;L
5495;ISSOIRE;APM-40 Simba;APM4;LandPlane;Piston;1;L
5496;ISSOIRE;Simba;APM4;LandPlane;Piston;1;L
5497;ISTRA;Ezhik;EZIK;LandPlane;Piston;1;L
5498;J & AS;Fregata;JAJ6;LandPlane;Piston;1;L
5499;J & AS;J-6 Fregata;JAJ6;LandPlane;Piston;1;L
5500;JABIRU;Jabiru J160;JAB2;LandPlane;Piston;1;L
5501;JABIRU;Jabiru J170;JAB2;LandPlane;Piston;1;L
5502;JABIRU;Jabiru J200;JAB4;LandPlane;Piston;1;L
5503;JABIRU;Jabiru J230;JAB4;LandPlane;Piston;1;L
5504;JABIRU;Jabiru J250;JAB4;LandPlane;Piston;1;L
5505;JABIRU;Jabiru J400;JAB4;LandPlane;Piston;1;L
5506;JABIRU;Jabiru J430;JAB4;LandPlane;Piston;1;L
5507;JABIRU;Jabiru J450;JAB4;LandPlane;Piston;1;L
5508;JABIRU;Jabiru LSA;JABI;LandPlane;Piston;1;L
5509;JABIRU;Jabiru SK;JABI;LandPlane;Piston;1;L
5510;JABIRU;Jabiru SP;JABI;LandPlane;Piston;1;L
5511;JABIRU;Jabiru SP-4;JABI;LandPlane;Piston;1;L
5512;JABIRU;Jabiru SP-6;JABI;LandPlane;Piston;1;L
5513;JABIRU;Jabiru SP-T;JABI;LandPlane;Piston;1;L
5514;JABIRU;Jabiru ST;JABI;LandPlane;Piston;1;L
5515;JABIRU;Jabiru ST-3;JABI;LandPlane;Piston;1;L
5516;JABIRU;Jabiru J120;JABI;LandPlane;Piston;1;L
5517;JACKAROO;Thruxton Jackaroo;JARO;LandPlane;Piston;1;L
5518;JAG HELICOPTER;JAG;JAG2;Helicopter;Turboprop/Turboshaft;1;L
5519;JAMES;Fletcher FU-24;FU24;LandPlane;Piston;1;L
5520;JANOWSKI;J-5 Marco;JAJ5;LandPlane;Piston;1;L
5521;JANOWSKI;Marco;JAJ5;LandPlane;Piston;1;L
5522;JAVELIN;Wichawk;WICH;LandPlane;Piston;1;L
5523;JEFFAIR;Barracuda;BARC;LandPlane;Piston;1;L
5524;JETCRAFTERS;Taurus 90;BE9L;LandPlane;Turboprop/Turboshaft;2;L
5525;JETPROP;DLX;P46T;LandPlane;Turboprop/Turboshaft;1;L
5526;JETSTREAM;61;ATP;LandPlane;Turboprop/Turboshaft;2;M
5527;JETSTREAM;BAe-3200 Jetstream Super 31;JS32;LandPlane;Turboprop/Turboshaft;2;M
5528;JETSTREAM;BAe-4100 Jetstream 41;JS41;LandPlane;Turboprop/Turboshaft;2;M
5529;JETSTREAM;Jetstream 1;JS1;LandPlane;Turboprop/Turboshaft;2;L
5530;JETSTREAM;Jetstream 41;JS41;LandPlane;Turboprop/Turboshaft;2;M
5531;JETSTREAM;Jetstream 200;JS20;LandPlane;Turboprop/Turboshaft;2;L
5532;JETSTREAM;Jetstream Super 31;JS32;LandPlane;Turboprop/Turboshaft;2;M
5533;JETSTREAM;Jetstream T.Mk.1;JS20;LandPlane;Turboprop/Turboshaft;2;L
5534;JETSTREAM;Jetstream T.Mk.2;JS20;LandPlane;Turboprop/Turboshaft;2;L
5535;JIANGXI CHANGHE-AGUSTA;CA-109 Power;A109;Helicopter;Turboprop/Turboshaft;2;L
5536;JIANGXI CHANGHE-AGUSTA;Power;A109;Helicopter;Turboprop/Turboshaft;2;L
5537;JIHLAVAN;KP-2 Rapid 200;KP2;LandPlane;Piston;1;L
5538;JIHLAVAN;KP-5 Rapid 500;KP5;LandPlane;Piston;1;L
5539;JIHLAVAN;Rapid 200;KP2;LandPlane;Piston;1;L
5540;JIHLAVAN;Rapid 500;KP5;LandPlane;Piston;1;L
5541;JIHLAVAN;KP-2 Skyleader 150;KP2;LandPlane;Piston;1;L
5542;JIHLAVAN;KP-2 Skyleader 200;KP2;LandPlane;Piston;1;L
5543;JIHLAVAN;KP-5 Skyleader 500;KP5;LandPlane;Piston;1;L
5544;JIHLAVAN;KP-5 Skyleader 600;KP5;LandPlane;Piston;1;L
5545;JIHLAVAN;Skyleader 150;KP2;LandPlane;Piston;1;L
5546;JIHLAVAN;Skyleader 200;KP2;LandPlane;Piston;1;L
5547;JIHLAVAN;Skyleader 500;KP5;LandPlane;Piston;1;L
5548;JIHLAVAN;Skyleader 600;KP5;LandPlane;Piston;1;L
5549;JMB AIRCRAFT;VL-3 Evolution;VL3;LandPlane;Piston;1;L
5550;JMB AIRCRAFT;Evolution;VL3;LandPlane;Piston;1;L
5551;JODEL;Abeille;D140;LandPlane;Piston;1;L
5552;JODEL;D-11;D11;LandPlane;Piston;1;L
5553;JODEL;D-18;D18;LandPlane;Piston;1;L
5554;JODEL;D-19;D18;LandPlane;Piston;1;L
5555;JODEL;D-20;D18;LandPlane;Piston;1;L
5556;JODEL;D-111;D11;LandPlane;Piston;1;L
5557;JODEL;D-112;D11;LandPlane;Piston;1;L
5558;JODEL;D-113;D11;LandPlane;Piston;1;L
5559;JODEL;D-114;D11;LandPlane;Piston;1;L
5560;JODEL;D-115;D11;LandPlane;Piston;1;L
5561;JODEL;D-116;D11;LandPlane;Piston;1;L
5562;JODEL;D-117;D11;LandPlane;Piston;1;L
5563;JODEL;D-118;D11;LandPlane;Piston;1;L
5564;JODEL;D-119;D11;LandPlane;Piston;1;L
5565;JODEL;D-120;D11;LandPlane;Piston;1;L
5566;JODEL;D-121;D11;LandPlane;Piston;1;L
5567;JODEL;D-122;D11;LandPlane;Piston;1;L
5568;JODEL;D-123;D11;LandPlane;Piston;1;L
5569;JODEL;D-124;D11;LandPlane;Piston;1;L
