Norma	Data da publicação	Norma-URL	Ementa	Arquivo-URL	tag
IS 43.13-004C	2020-10-17	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-004	Procedimentos para Reparo de Aeronaves Avariadas em Acidente/Incidente Aeronáutico ou Ocorrência de Solo com Avarias Estruturais de Grande Monta.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-004/@@display-file/arquivo_norma/IS43.13-004C.pdf	43.13
IS 61-001D	2020-06-23	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-001	Caderneta Individual de Voo Digital – CIV Digital.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-001/@@display-file/arquivo_norma/IS61-001D.pdf	
IS 61-003B	2020-05-23	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-003-1	Processo de exame de proficiência linguística de pilotos e averbação de proficiência linguística com base em licença estrangeira em processo de convalidação.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-003-1/@@display-file/arquivo_norma/IS-61-003B.pdf	
IS 61-004R	2021-09-11	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-004	Lista de habilitações averbadas pela ANAC nas licenças de pilotos.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-004/@@display-file/arquivo_norma/IS61-004R.pdf	
IS 61-005B	2018-11-02	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-005	Treinamento requerido para concessão e revalidação de habilitação de tipo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-005/@@display-file/arquivo_norma/IS61-005B.pdf	
IS 61-006H	2020-11-14	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-006-1	Procedimentos para o lançamento de endossos nos registros de voo de pilotos.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-006-1/@@display-file/arquivo_norma/IS61-006H.pdf	
IS 61-006J	2021-11-27	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-006i	Procedimentos para o lançamento de endossos nos registros de voo de pilotos.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-006i/@@display-file/arquivo_norma/IS61-006J.pdf	
IS 61-007A	2018-07-28	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-007	Procedimentos para trâmite de informações acerca da execução de um programa de treinamento operacional.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-007/@@display-file/arquivo_norma/IS61-007A.pdf	
IS 61.15-001D	2019-07-02	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-15-001	Autorização para Piloto de Ensaios em Voo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-15-001/@@display-file/arquivo_norma/IS61.15-001D - Retificada.pdf	61.15
IS 65-001D	2021-07-03	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-65-001	Procedimentos para concessão de licença e de habilitação e para recadastramento de mecânicos de manutenção aeronáutica.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-65-001/@@display-file/arquivo_norma/IS65-001D.pdf	
